SPItapeva;352240;3522406;SP;Itapeva;Região Sudeste;87753;Médio;;
SPItapevi;352250;3522505;SP;Itapevi;Região Sudeste;200769;Grande;;
SPItapira;352260;3522604;SP;Itapira;Região Sudeste;68537;Médio;;
SPItapirapuã Paulista;352265;3522653;SP;Itapirapuã Paulista;Região Sudeste;3880;Pequeno I;;
SPItápolis;352270;3522703;SP;Itápolis;Região Sudeste;40051;Pequeno II;;
SPItaporanga;352280;3522802;SP;Itaporanga;Região Sudeste;14549;Pequeno I;;
SPItapuí;352290;3522901;SP;Itapuí;Região Sudeste;12173;Pequeno I;;
SPItapura;352300;3523008;SP;Itapura;Região Sudeste;4357;Pequeno I;;
SPItaquaquecetuba;352310;3523107;SP;Itaquaquecetuba;Região Sudeste;321770;Grande;;
SPItararé;352320;3523206;SP;Itararé;Região Sudeste;47934;Pequeno II;;
SPItariri;352330;3523305;SP;Itariri;Região Sudeste;15471;Pequeno I;;
SPItatiba;352340;3523404;SP;Itatiba;Região Sudeste;101471;Grande;;
SPItatinga;352350;3523503;SP;Itatinga;Região Sudeste;18052;Pequeno I;;
SPItirapina;352360;3523602;SP;Itirapina;Região Sudeste;15524;Pequeno I;;
SPItirapuã;352370;3523701;SP;Itirapuã;Região Sudeste;5914;Pequeno I;;
SPItobi;352380;3523800;SP;Itobi;Região Sudeste;7546;Pequeno I;;
SPItu;352390;3523909;SP;Itu;Região Sudeste;154147;Grande;;
SPItupeva;352400;3524006;SP;Itupeva;Região Sudeste;44859;Pequeno II;;
SPItuverava;352410;3524105;SP;Ituverava;Região Sudeste;38695;Pequeno II;;
SPJaborandi;352420;3524204;SP;Jaborandi;Região Sudeste;6592;Pequeno I;;
SPJaboticabal;352430;3524303;SP;Jaboticabal;Região Sudeste;71662;Médio;;
SPJacareí;352440;3524402;SP;Jacareí;Região Sudeste;211214;Grande;;
SPJaci;352450;3524501;SP;Jaci;Região Sudeste;5657;Pequeno I;;
SPJacupiranga;352460;3524600;SP;Jacupiranga;Região Sudeste;17208;Pequeno I;;
SPJaguariúna;352470;3524709;SP;Jaguariúna;Região Sudeste;44311;Pequeno II;;
SPJales;352480;3524808;SP;Jales;Região Sudeste;47012;Pequeno II;;
SPJambeiro;352490;3524907;SP;Jambeiro;Região Sudeste;5349;Pequeno I;;
SPJandira;352500;3525003;SP;Jandira;Região Sudeste;108344;Grande;;
SPJardinópolis;352510;3525102;SP;Jardinópolis;Região Sudeste;37661;Pequeno II;;
SPJarinu;352520;3525201;SP;Jarinu;Região Sudeste;23847;Pequeno II;;
SPJaú;352530;3525300;SP;Jaú;Região Sudeste;131040;Grande;;
SPJeriquara;352540;3525409;SP;Jeriquara;Região Sudeste;3160;Pequeno I;;
SPJoanópolis;352550;3525508;SP;Joanópolis;Região Sudeste;11768;Pequeno I;;
SPJoão Ramalho;352560;3525607;SP;João Ramalho;Região Sudeste;4150;Pequeno I;;
SPJosé Bonifácio;352570;3525706;SP;José Bonifácio;Região Sudeste;32763;Pequeno II;;
SPJúlio Mesquita;352580;3525805;SP;Júlio Mesquita;Região Sudeste;4430;Pequeno I;;
SPJumirim;352585;3525854;SP;Jumirim;Região Sudeste;2798;Pequeno I;;
SPJundiaí;352590;3525904;SP;Jundiaí;Região Sudeste;370126;Grande;;
SPJunqueirópolis;352600;3526001;SP;Junqueirópolis;Região Sudeste;18726;Pequeno I;;
SPJuquiá;352610;3526100;SP;Juquiá;Região Sudeste;19246;Pequeno I;;
